,precision,recall,f1-score,support
0,0.9318181818181818,0.9461538461538461,0.9389312977099236,130.0
1,0.9583333333333334,0.92,0.9387755102040817,100.0
2,0.9882352941176471,0.9333333333333333,0.96,90.0
3,0.979381443298969,0.9405940594059405,0.9595959595959594,101.0
4,0.9306122448979591,0.9702127659574468,0.95,470.0
5,0.9516129032258065,0.932806324110672,0.9421157684630739,253.0
6,0.9248554913294798,0.9195402298850575,0.9221902017291066,174.0
7,0.9586374695863747,0.91415313225058,0.9358669833729216,431.0
8,0.9022222222222223,0.9269406392694064,0.9144144144144144,219.0
9,0.9572301425661914,0.9771309771309772,0.9670781893004116,481.0
10,0.9634464751958225,0.9461538461538461,0.9547218628719276,390.0
11,0.9465648854961832,0.9763779527559056,0.9612403100775194,254.0
12,0.9671052631578947,0.9671052631578947,0.9671052631578947,152.0
accuracy,0.9482280431432973,0.9482280431432973,0.9482280431432973,0.9482280431432973
macro avg,0.9507734884804665,0.9438847976588391,0.9470796739151719,3245.0
weighted avg,0.9486156533738409,0.9482280431432973,0.948182063817454,3245.0
